Entity,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa,699.0,735.008,741.093,781.661,800.499,872.838,948.591,1005.908,1089.114,1141.976,1208.76,1322.948,1391.411,1444.983,1584.175,1700.516,1892.199,2020.276,2074.035,2142.948,2226.489,2279.404,2354.141,2518.829,2525.99,2606.334,2599.656,2640.205,2645.987,2736.804,2848.286,2924.556,2980.83,3027.13,3120.426,3193.59,3305.583,3346.388,3505.433,3742.319,3776.688,3841.072,3983.378,4224.608,4301.272,4442.376,4456.761,4621.306,4751.044,4930.545,5024.892,5163.861,5285.288,5417.289,5520.056,5162.275
Algeria,24.761,29.769,28.174,30.244,33.474,36.655,39.674,44.559,53.116,58.82,70.311,82.032,90.164,113.317,148.488,177.097,215.121,248.026,270.925,260.115,262.181,277.446,285.079,305.389,297.028,314.95,312.043,320.191,297.932,301.891,313.11,309.901,297.846,308.31,311.398,299.936,310.801,321.94,336.876,349.734,366.175,379.183,399.601,423.509,448.801,438.964,464.422,507.603,536.956,585.572,617.482,616.941,623.701,671.055,695.143,638.496
Argentina,328.332,338.963,348.798,360.551,372.64,353.124,374.395,379.105,395.896,411.331,401.897,421.561,440.243,440.487,472.565,469.058,455.134,463.15,482.589,483.561,477.471,504.59,527.261,536.946,518.125,509.723,518.849,557.012,572.494,605.287,628.421,662.54,674.108,700.362,706.883,709.047,690.743,663.971,709.362,752.068,798.026,839.4,879.095,888.751,864.127,898.253,926.83,961.133,998.486,996.752,1015.811,1009.007,1011.457,997.102,939.086,874.612
Asia Pacific,5195.369,5641.396,5908.297,6367.316,7235.479,8237.08,9021.072,9554.854,10320.586,10542.212,10945.957,11473.96,12140.652,12972.49,13573.956,13689.97,13791.469,13925.328,14544.32,15554.175,16314.806,17004.765,17966.496,19277.273,20311.419,21154.768,22124.166,23147.54,24367.839,25708.974,26995.096,28254.026,29116.91,29018.637,30133.875,31253.805,32272.812,33899.479,36689.969,40306.074,43415.966,45970.729,48835.541,50188.65,51309.611,54611.696,57498.089,59368.69,61136.445,62605.004,63710.493,65067.937,67057.021,69402.074,71261.096,70347.093
Australia,424.259,444.668,471.61,500.152,520.756,568.171,596.636,623.908,667.014,709.237,721.029,746.351,783.364,808.423,838.565,841.674,855.141,847.417,818.588,849.885,874.883,892.201,918.547,960.579,1009.194,1030.075,1022.201,1039.052,1060.861,1102.279,1151.151,1184.877,1214.009,1243.042,1293.871,1302.451,1312.784,1338.907,1357.719,1400.628,1404.486,1465.437,1496.329,1517.156,1490.583,1480.259,1523.502,1504.63,1523.72,1539.015,1575.636,1582.272,1574.244,1582.532,1632.529,1546.83
Austria,186.616,195.219,197.192,210.983,218.93,250.334,250.07,258.728,278.068,278.892,276.799,287.208,287.132,299.72,317.182,315.657,305.992,295.785,295.01,292.657,307.279,310.363,327.302,322.372,324.229,329.047,345.371,339.175,344.982,343.068,359.618,360.713,368.085,373.851,381.969,383.281,397.414,398.17,403.549,410.287,417.261,412.542,402.872,410.946,397.028,410.531,384.392,403.154,400.515,383.817,384.53,397.179,406.815,397.137,415.964,384.36
Belgium,412.892,397.805,417.607,465.37,510.732,539.544,529.31,562.7,570.243,550.686,517.547,548.937,549.747,573.819,590.469,565.183,537.34,513.866,497.46,519.747,542.228,559.26,576.036,587.489,591.973,618.635,640.153,638.74,628.53,661.316,669.454,711.118,718.26,732.408,726.944,740.151,733.765,730.283,758.455,761.282,752.476,754.279,759.169,771.123,720.311,767.655,716.501,686.54,705.211,655.32,664.573,716.316,724.023,718.624,740.942,608.567
Brazil,269.297,293.779,304.348,348.011,379.953,440.505,481.739,554.967,661.667,722.817,763.679,838.69,896.275,987.784,1069.406,1091.086,1063.698,1116.457,1138.542,1222.397,1301.654,1387.887,1429.371,1483.961,1513.828,1488.863,1546.03,1618.265,1690.599,1776.659,1865.465,1969.715,2082.24,2158.256,2196.877,2233.892,2186.656,2237.889,2277.733,2388.812,2456.158,2517.919,2670.789,2787.295,2764.258,3042.656,3182.806,3240.433,3362.015,3438.78,3388.909,3301.494,3343.262,3365.822,3450.384,3335.555
Bulgaria,119.567,128.205,148.978,166.704,185.738,208.973,217.608,223.943,232.613,239.602,264.721,280.176,295.143,305.748,317.291,334.958,329.841,337.937,340.091,338.104,335.693,342.497,345.097,352.946,349.936,323.224,261.051,245.178,260.996,251.245,270.214,268.973,254.93,244.534,213.562,215.891,223.248,217.844,226.049,218.832,236.666,241.217,233.941,230.075,201.083,209.284,222.732,211.254,195.36,208.576,221.684,210.044,214.864,214.446,207.051,191.651
CIS,6902.17,7339.638,7714.98,8001.394,8353.559,8787.364,9219.433,9694.172,10187.24,10749.678,11282.076,11720.662,12244.958,12772.343,13122.127,13414.247,13699.584,14042.961,14338.136,14875.516,11972.275,12243.662,12597.588,12880.926,12889.335,12680.816,12457.297,11927.602,11020.227,10048.859,9455.424,9148.008,8629.085,8611.618,8719.639,8805.188,8983.239,8960.32,9166.098,9314.588,9345.859,9688.01,9811.674,9817.695,9410.007,9786.967,10198.443,10305.8,10148.283,10228.343,10113.364,10245.762,10362.045,10855.888,10804.997,10310.601
